K500001;ΜΥΕΛΟΓΡΑΦΙΑ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;5668.78
K500011;ΑΝΕΝΕΡΓΟΣ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;933.85
K500041;ΑΚΤΙΝΟΓΡΑΦΙΑ ΟΦΘΑΛΜΙΚΟΥ ΚΟΓΧΟΥ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;9391.91
K500181;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΑΤΩ ΓΝΑΘΟΥ ΜΕΡΙΚΗ ΕΤΕΡΟΠΛΕΥΡΗ (2 ΠΡΟΒΟΛΕΣ);ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;2568.32
K500201;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΑΤΩ ΓΝΑΘΟΥ ΠΛΗΡΗΣ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;27.87
K500221;ΑΚΤΙΝΟΓΡΑΦΙΑ ΜΑΣΤΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;8745.84
K500241;ΑΚΤΙΝΟΓΡΑΦΙΑ ΜΑΣΤΟΕΙΔΩΝ ΑΠΟΦΥΣΕΩΝ ΣΥΓΚΡΙΤΙΚΗ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;1287.64
K500249;ΑΚΤΙΝΟΓΡΑΦΙΑ ΕΣΩ ΑΚΟΥΣΤΙΚΩΝ ΠΟΡΩΝ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;3983.39
K500261;ΑΚΤΙΝΟΓΡΑΦΙΑ ΟΣΤΩΝ ΠΡΟΣΩΠΟΥ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;8821.02
K500281;ΔΙΑΓΡΑΦΕΤΑΙ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ;1353.25
