expected_duration,cost,room_type
151,2314.93,Χειρουργείο
793,351.16,Χειρουργείο
100,7728.18,Χειρουργείο
764,3206.96,Χειρουργείο
61,8163.54,Χειρουργείο
40,24.71,Χειρουργείο
600,993.0,Χειρουργείο
736,7839.57,Χειρουργείο
868,4648.94,Χειρουργείο
607,6416.8,Χειρουργείο
761,2540.67,Χειρουργείο
831,6011.29,Χειρουργείο
679,8479.03,Χειρουργείο
337,4530.4,Χειρουργείο
693,8955.25,Χειρουργείο
553,7795.2,Χειρουργείο
567,5141.04,Χειρουργείο
25,9783.77,Χειρουργείο
226,2001.21,Χειρουργείο
259,2614.6,Χειρουργείο
868,1900.01,Χειρουργείο
838,8954.2,Χειρουργείο
873,4498.56,Χειρουργείο
39,904.9,Χειρουργείο
522,5331.68,Χειρουργείο
200,3918.51,Χειρουργείο
497,6936.44,Χειρουργείο
432,1112.55,Χειρουργείο
215,4986.76,Χειρουργείο
840,5048.15,Χειρουργείο
77,6382.59,Χειρουργείο
756,2267.86,Χειρουργείο
805,7894.08,Χειρουργείο
761,6738.12,Χειρουργείο
435,3443.54,Χειρουργείο
75,2142.07,Χειρουργείο
362,9063.63,Χειρουργείο
776,1439.41,Χειρουργείο
224,9174.73,Χειρουργείο
777,4383.06,Χειρουργείο
131,2399.0,Χειρουργείο
483,5344.57,Χειρουργείο
712,6094.08,Χειρουργείο
732,6146.71,Χειρουργείο
484,856.58,Χειρουργείο
407,8553.81,Χειρουργείο
626,3251.42,Χειρουργείο
178,5687.44,Χειρουργείο
310,6278.65,Χειρουργείο
696,7353.3,Χειρουργείο
635,2918.95,Χειρουργείο
213,4881.99,Χειρουργείο
229,4849.66,Χειρουργείο
408,592.27,Χειρουργείο
693,3827.64,Χειρουργείο
618,8986.87,Χειρουργείο
860,732.22,Χειρουργείο
720,7180.15,Χειρουργείο
827,2806.58,Χειρουργείο
310,1202.64,Χειρουργείο
698,7817.95,Χειρουργείο
897,9035.43,Χειρουργείο
505,1330.19,Χειρουργείο
169,5156.82,Χειρουργείο
811,3529.62,Χειρουργείο
378,7329.19,Χειρουργείο
809,7512.62,Χειρουργείο
394,6312.31,Χειρουργείο
459,3879.53,Χειρουργείο
712,6816.89,Χειρουργείο
448,2801.82,Χειρουργείο
23,9398.41,Χειρουργείο
224,2647.89,Χειρουργείο
332,2015.7,Χειρουργείο
149,6657.64,Χειρουργείο
896,8276.9,Χειρουργείο
524,7553.89,Χειρουργείο
97,8218.57,Χειρουργείο
642,7322.82,Χειρουργείο
247,2046.3,Χειρουργείο
333,4626.91,Χειρουργείο
797,8989.02,Χειρουργείο
243,1226.92,Χειρουργείο
821,6032.67,Χειρουργείο
62,9126.46,Χειρουργείο
66,5831.12,Χειρουργείο
228,9426.43,Χειρουργείο
852,3732.03,Χειρουργείο
312,164.77,Χειρουργείο
662,5838.63,Χειρουργείο
336,4966.98,Χειρουργείο
327,133.55,Χειρουργείο
444,860.87,Χειρουργείο
159,6006.54,Χειρουργείο
421,5760.3,Χειρουργείο
441,6418.63,Χειρουργείο
78,3052.01,Χειρουργείο
675,5961.08,Χειρουργείο
742,8316.12,Χειρουργείο
615,3773.36,Χειρουργείο
667,9258.78,Χειρουργείο
239,7024.03,Χειρουργείο
276,2841.44,Χειρουργείο
312,9922.09,Χειρουργείο
657,2469.01,Χειρουργείο
384,9295.22,Χειρουργείο
219,3130.95,Χειρουργείο
651,6667.26,Χειρουργείο
132,4607.66,Χειρουργείο
209,3018.89,Χειρουργείο
553,2436.62,Χειρουργείο
806,4998.76,Χειρουργείο
773,834.7,Χειρουργείο
341,7815.0,Χειρουργείο
295,3224.72,Χειρουργείο
882,1908.82,Χειρουργείο
159,9811.39,Χειρουργείο
682,5644.26,Χειρουργείο
124,7766.27,Χειρουργείο
733,5933.81,Χειρουργείο
282,3850.72,Χειρουργείο
664,587.25,Χειρουργείο
282,721.28,Χειρουργείο
169,6391.93,Χειρουργείο
156,342.2,Χειρουργείο
468,6105.5,Χειρουργείο
177,9704.58,Χειρουργείο
859,8603.62,Χειρουργείο
107,9988.25,Χειρουργείο
20,4985.03,Χειρουργείο
46,2820.5,Χειρουργείο
589,2502.13,Χειρουργείο
640,1041.53,Χειρουργείο
